Time,si_in,mg_in
731337,1.84,0.39
731337.000694444,NaN,NaN
731337.083333333,NaN,NaN
731337.084027778,NaN,NaN
731337.166666667,NaN,NaN
731337.167361111,NaN,NaN
731337.25,NaN,NaN
731337.250694444,NaN,NaN
731337.333333333,NaN,NaN
731337.334027778,NaN,NaN
731337.416666667,NaN,NaN
731337.417361111,NaN,NaN
731337.569444445,2.86,0.71
731337.570138889,NaN,NaN
731337.583333333,NaN,NaN
731337.584027778,NaN,NaN
731337.666666667,NaN,NaN
731337.667361111,NaN,NaN
731337.75,NaN,NaN
731337.750694444,NaN,NaN
731337.833333333,NaN,NaN
731337.834027778,NaN,NaN
731337.916666667,NaN,NaN
731337.917361111,NaN,NaN
731338,1.45,0.47
731338.000694444,NaN,NaN
731338.083333333,NaN,NaN
731338.084027778,NaN,NaN
731338.166666667,NaN,NaN
731338.167361111,NaN,NaN
731338.25,NaN,NaN
731338.250694444,NaN,NaN
731338.333333333,NaN,NaN
731338.334027778,NaN,NaN
731338.416666667,NaN,NaN
731338.417361111,NaN,NaN
731338.5,3.32,0.63
731338.500694444,NaN,NaN
731338.583333333,NaN,NaN
731338.584027778,NaN,NaN
731338.666666667,NaN,NaN
731338.667361111,NaN,NaN
731338.75,NaN,NaN
731338.750694444,NaN,NaN
731338.833333333,NaN,NaN
731338.834027778,NaN,NaN
731338.916666667,NaN,NaN
731338.917361111,NaN,NaN
731339,NaN,1.05
731339.000694444,NaN,NaN
731339.083333333,NaN,NaN
731339.084027778,NaN,NaN
731339.166666667,NaN,NaN
731339.167361111,NaN,NaN
731339.25,NaN,NaN
731339.250694444,NaN,NaN
731339.333333333,NaN,NaN
731339.334027778,NaN,NaN
731339.416666667,NaN,NaN
731339.417361111,NaN,NaN
731339.5,2.59,0.5
731339.500694444,NaN,NaN
731339.583333333,NaN,NaN
731339.584027778,NaN,NaN
731339.666666667,NaN,NaN
731339.667361111,NaN,NaN
731339.75,2.28,0.48
731339.750694444,NaN,NaN
731339.833333333,NaN,NaN
731339.834027778,NaN,NaN
731339.916666667,NaN,NaN
731339.917361111,NaN,NaN
731340,2.42,0.66
731340.000694444,NaN,NaN
731340.083333333,NaN,NaN
731340.084027778,NaN,NaN
731340.166666667,NaN,NaN
731340.167361111,NaN,NaN
731340.25,NaN,NaN
731340.250694444,NaN,NaN
731340.333333333,NaN,NaN
731340.334027778,NaN,NaN
731340.416666667,NaN,NaN
731340.417361111,NaN,NaN
731340.5,2.33,0.77
731340.500694444,NaN,NaN
731340.583333333,NaN,NaN
731340.584027778,NaN,NaN
731340.666666667,NaN,NaN
731340.667361111,NaN,NaN
731340.75,NaN,NaN
731340.750694444,NaN,NaN
731340.827083333,NaN,NaN
731340.833333333,NaN,NaN
731340.834027778,NaN,NaN
731340.916666667,NaN,NaN
731340.917361111,NaN,NaN
731341,2.89,0.66
731341.000694444,NaN,NaN
731341.083333333,NaN,NaN
731341.084027778,NaN,NaN
731341.166666667,NaN,NaN
731341.167361111,NaN,NaN
731341.25,NaN,NaN
731341.250694444,NaN,NaN
731341.333333333,NaN,NaN
731341.334027778,NaN,NaN
731341.411805556,NaN,NaN
731341.4125,NaN,NaN
731341.416666667,NaN,NaN
731341.417361111,NaN,NaN
731341.583333333,NaN,NaN
731341.584027778,NaN,NaN
731341.666666667,NaN,NaN
731341.667361111,NaN,NaN
731341.75,NaN,NaN
731341.750694444,NaN,NaN
731341.833333333,NaN,NaN
731341.834027778,NaN,NaN
731341.916666667,NaN,NaN
731341.917361111,NaN,NaN
731342,2.38,0.78
731342.000694444,NaN,NaN
731342.083333333,NaN,NaN
731342.084027778,NaN,NaN
731342.166666667,NaN,NaN
731342.167361111,NaN,NaN
731342.25,NaN,NaN
731342.250694444,NaN,NaN
731342.333333333,NaN,NaN
731342.334027778,NaN,NaN
731342.416666667,NaN,NaN
731342.417361111,NaN,NaN
731342.500694444,16.91,4.9
731342.501388889,NaN,NaN
731342.583333333,NaN,NaN
731342.584027778,NaN,NaN
731342.666666667,NaN,NaN
731342.667361111,NaN,NaN
731342.75,2.62,0.55
731342.750694444,NaN,NaN
731342.833333333,NaN,NaN
731342.834027778,NaN,NaN
731342.916666667,NaN,NaN
731342.917361111,NaN,NaN
731343,3.67,1.42
731343.000694444,NaN,NaN
731343.083333333,NaN,NaN
731343.084027778,NaN,NaN
731343.166666667,NaN,NaN
731343.167361111,NaN,NaN
