Time,si,mg
731337,4.2,1
731337.000694444,4.43,1.3
731337.083333333,4.48,0.99
731337.084027778,4.72,1.12
731337.166666667,4.72,1.03
731337.167361111,4.99,1.22
731337.25,4.36,0.98
731337.250694444,4.61,1.13
731337.333333333,4.49,0.96
731337.334027778,4.8,1.14
731337.416666667,4.54,0.98
731337.417361111,4.61,1.03
731337.569444445,4.68,0.98
731337.570138889,4.8,1.06
731337.583333333,5.44,1.09
731337.584027778,5.87,1.36
731337.666666667,5.15,1.04
731337.667361111,5.1,1.19
731337.75,4.87,1.01
731337.750694444,4.89,1.14
731337.833333333,4.9,1.07
731337.834027778,4.8,1.21
731337.916666667,4.64,1.03
731337.917361111,4.44,1.13
731338,3.27,0.81
731338.000694444,2.86,0.71
731338.083333333,4.67,1.07
731338.084027778,4.45,1.09
731338.166666667,5.01,1.11
731338.167361111,4.79,1.16
731338.25,4.7,1
731338.250694444,4.58,1.09
731338.333333333,4.56,0.94
731338.334027778,4.27,0.95
731338.416666667,5.35,1.07
731338.417361111,5.19,1.17
731338.5,5.13,1.1
731338.500694444,4.94,1.09
731338.583333333,4.97,1.09
731338.584027778,5.02,1.27
731338.666666667,4.6,1
731338.667361111,4.71,1.1
731338.75,4.43,0.96
731338.750694444,4.3,1.01
731338.833333333,4.85,1
731338.834027778,4.68,1.13
731338.916666667,4.98,1.06
731338.917361111,4.89,1.19
731339,5.1,1.02
731339.000694444,5.18,1.2
731339.083333333,4.47,0.87
731339.084027778,4.52,0.96
731339.166666667,3.46,0.81
731339.167361111,3.43,0.84
731339.25,4.38,1.04
731339.250694444,4.47,1.28
731339.333333333,4.66,1.01
731339.334027778,4.34,1.23
731339.416666667,4.96,1.02
731339.417361111,5.02,1.11
731339.5,4.74,1.04
731339.500694444,4.87,1.27
731339.583333333,4.52,1.06
731339.584027778,4.51,1.25
731339.666666667,4.46,1.02
731339.667361111,4.31,1.23
731339.75,4.34,0.98
731339.750694444,4.1,1.09
731339.833333333,4.13,1.02
731339.834027778,4.13,1.07
731339.916666667,4.21,1.1
731339.917361111,4.06,1.31
731340,3.78,1.07
731340.000694444,4.3,1.52
731340.083333333,5.67,1.72
731340.084027778,5.82,2.57
731340.166666667,4.1,1.11
731340.167361111,4.02,1.36
731340.25,4.28,1.06
731340.250694444,4.28,1.26
731340.333333333,4.51,1.09
731340.334027778,4.52,1.36
731340.416666667,4.2,1.02
731340.417361111,4.1,1.16
731340.5,3.52,0.92
731340.500694444,3.41,1.05
731340.583333333,4.47,1.16
731340.584027778,4.28,1.32
731340.666666667,4.94,1.17
731340.667361111,4.92,1.47
731340.75,4.23,1.12
731340.750694444,3.91,1.21
731340.827083333,NaN,NaN
731340.833333333,4.2,1.04
731340.834027778,4.12,1.25
731340.916666667,4.73,1.14
731340.917361111,4.68,1.26
731341,4.67,1.24
731341.000694444,4.58,1.47
731341.083333333,4.74,1.21
731341.084027778,4.93,1.5
731341.166666667,4.59,1.11
731341.167361111,4.44,1.42
731341.25,4.31,1.14
731341.250694444,4.44,1.42
731341.333333333,4.37,1.16
731341.334027778,4.38,1.42
731341.411805556,NaN,NaN
731341.4125,NaN,NaN
731341.416666667,4.7,1.14
731341.417361111,4.64,1.43
731341.583333333,3.36,0.96
731341.584027778,3.15,0.93
731341.666666667,4.63,1.22
731341.667361111,4.73,1.59
731341.75,5.32,1.3
731341.750694444,5.26,1.63
731341.833333333,4.69,1.12
731341.834027778,5.38,1.38
731341.916666667,4.49,1.16
731341.917361111,4.51,1.42
731342,4.41,1.2
731342.000694444,4.52,1.53
731342.083333333,4.44,1.09
731342.084027778,4.8,1.52
731342.166666667,4.92,1.15
731342.167361111,5.21,1.45
731342.25,5.03,1.13
731342.250694444,5.32,1.41
731342.333333333,5.32,1.3
731342.334027778,4.98,1.23
731342.416666667,3.7,0.84
731342.417361111,3.58,0.81
731342.500694444,3.6,0.93
731342.501388889,4.51,1.25
731342.583333333,4.75,1.19
731342.584027778,4.51,1.25
731342.666666667,3.62,0.91
731342.667361111,3.55,1.51
731342.75,4.46,1.05
731342.750694444,4.72,1.29
731342.833333333,4.87,1.24
731342.834027778,5,1.3
731342.916666667,4.51,1.06
731342.917361111,4.59,1.32
731343,4.29,1.03
731343.000694444,4.14,1.21
731343.083333333,4.63,1.15
